StartTime: 2020-06-07 11:07:10.434
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	 12:01:28.023	0.6724	-0.0996	-0.7095	2.9297	-11.2915	-2.4414	-172.5238	-42.9236	12.3871	39.11	-123	-138	209 
0x50	 12:01:28.096	0.6553	-0.0991	-0.7407	5.9204	-15.9912	-8.2397	-172.5897	-41.6656	13.4088	39.14	-117	-137	213 
0x50	 12:01:28.199	0.6226	-0.1055	-0.7251	4.4556	-13.7939	-4.8218	-172.5732	-40.2429	14.3317	39.09	-111	-135	218 
0x50	 12:01:28.300	0.6138	-0.1050	-0.7520	1.5869	-8.5449	-2.0752	-172.7271	-39.1333	14.9194	39.14	-105	-136	224 
0x50	 12:01:28.401	0.6196	-0.0889	-0.7866	-2.3804	-5.0049	0.8545	-173.0292	-38.4851	15.2875	39.14	-103	-136	222 
0x50	 12:01:28.486	0.6172	-0.1104	-0.7871	-3.4790	-3.4180	0.7935	-173.1775	-38.0511	15.1447	39.12	-99	-134	223 
0x50	 12:01:28.592	0.5820	-0.0908	-0.7676	-6.5918	-1.7090	3.9063	-173.4302	-37.7106	14.7986	39.11	-100	-135	222 
0x50	 12:01:28.697	0.5811	-0.0952	-0.7705	-3.3569	-0.1221	2.1362	-173.6224	-37.5238	14.4690	39.16	-100	-134	221 
0x50	 12:01:28.785	0.5923	-0.0850	-0.7710	0.4883	2.0752	0.5493	-173.6499	-37.5952	14.3921	39.13	-103	-135	220 
0x50	 12:01:28.949	0.5913	-0.0820	-0.7695	0.8545	1.0986	-0.5493	-173.6609	-37.7490	14.5569	39.12	-100	-137	222 
0x50	 12:01:28.995	0.6069	-0.0869	-0.7671	-0.7324	0.1831	-1.8311	-173.7213	-37.8314	14.7601	39.13	-103	-136	221 
0x50	 12:01:29.166	0.5986	-0.0835	-0.7705	-2.0752	-0.6714	-0.1831	-174.0125	-37.7820	14.8151	39.12	-102	-141	222 
0x50	 12:01:29.183	0.6172	-0.0898	-0.7808	-2.3804	-0.1221	-1.8311	-174.1937	-37.7875	14.9030	39.15	-101	-142	219 
0x50	 12:01:29.306	0.6133	-0.0776	-0.7515	-4.8828	0.0610	-1.2207	-174.5782	-37.7930	15.1227	39.12	-100	-140	215 
0x50	 12:01:29.393	0.6040	-0.0483	-0.7734	-4.4556	-2.0142	-0.7324	-175.2814	-37.7325	15.2820	39.11	-98	-141	212 
0x50	 12:01:29.549	0.5991	-0.0601	-0.7856	-1.0376	-6.3477	-2.1362	-175.6165	-37.2876	15.5182	39.16	-99	-144	217 
0x50	 12:01:29.581	0.5811	-0.0645	-0.7559	-3.8452	-7.7515	-2.3193	-176.0504	-36.5405	15.9961	39.10	-92	-143	218 
0x50	 12:01:29.712	0.5908	-0.1055	-0.7544	-2.2583	-0.4883	-5.8594	-176.2592	-36.3153	16.4301	39.14	-91	-146	216 
0x50	 12:01:29.787	0.2188	-0.2031	-0.3076	-52.8564	19.6533	5.7373	-177.3468	-37.8479	16.8530	39.16	-91	-148	212 
0x50	 12:01:29.886	0.4844	-0.0020	-0.2900	-111.0840	49.6826	50.7813	178.2751	-39.4739	11.3599	39.10	-107	-157	177 
0x50	 12:01:29.987	1.4395	0.4268	-0.1074	63.1714	45.0439	-16.5405	175.8691	-46.1536	11.2665	39.14	-131	-162	142 
0x50	 12:01:30.144	2.5020	-0.4873	-0.5698	26.0010	30.9448	-59.8145	178.9728	-48.7903	21.1157	39.15	-112	-162	171 
0x50	 12:01:30.181	1.1973	0.0591	-0.4775	-91.3086	-58.7158	18.0054	176.7480	-44.8737	18.1714	39.13	-99	-165	173 
0x50	 12:01:30.275	0.1567	-0.0405	-0.0898	-65.6738	-81.9702	52.9785	171.5295	-35.9637	12.5354	39.14	-96	-175	145 
0x50	 12:01:30.381	2.1113	1.0586	-0.4741	232.5439	136.3525	53.2227	-173.3148	-39.3970	-0.5878	39.13	-142	-150	146 
0x50	 12:01:30.560	0.0366	-0.7515	0.3926	109.4971	13.9160	-38.1470	-168.4863	-51.2952	10.3876	39.13	-137	-135	169 
0x50	 12:01:30.576	2.5708	-1.7734	-0.1001	-71.2280	2.1362	-70.7397	-161.8781	-47.0160	19.7205	39.13	-102	-114	225 
0x50	 12:01:30.758	-0.7324	1.4604	-0.2163	-72.5708	102.8442	160.5835	-171.9415	-56.3324	15.8203	39.12	-107	-137	181 
0x50	 12:01:30.772	-0.4409	0.5513	-1.5127	-169.2505	-97.0459	-11.2305	-168.9752	-55.5579	0.2747	39.10	-145	-136	122 
0x50	 12:01:30.951	3.8232	1.1938	-0.7612	262.8784	48.4619	55.2368	-163.9435	-49.6088	-1.3403	39.10	-156	-130	119 
0x50	 12:01:30.987	-0.7954	0.6743	0.9155	86.1816	110.2295	-78.6133	-157.5549	-62.8308	5.0482	39.13	-146	-127	146 
0x50	 12:01:31.073	1.0400	0.3604	-0.0146	22.7051	-108.0933	-14.4043	-148.3209	-56.7224	8.6243	39.13	-130	-115	194 
