StartTime: 2020-06-07 11:07:10.434
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	 11:56:36.036	0.0215	0.1563	-0.4897	-22.2778	17.5171	-16.9678	143.4595	-57.0081	158.6151	38.91	-39	120	289 
0x50	 11:56:36.119	1.9331	-0.2061	-0.7046	-27.0386	-44.4336	-39.4897	138.9221	-52.8387	162.8668	38.91	-40	108	290 
0x50	 11:56:36.214	1.5874	-0.2500	-0.3569	6.1035	-13.5498	44.7998	144.4702	-53.8660	156.2915	38.90	-29	112	292 
0x50	 11:56:36.316	-0.2354	0.1514	-0.1538	2.7466	36.3159	-0.4272	146.9861	-57.3157	154.0448	38.88	-32	119	290 
0x50	 11:56:36.455	-0.0127	-0.0845	-0.3452	26.3672	-4.0894	13.3057	140.5096	-54.6790	163.9545	38.93	-44	126	297 
0x50	 11:56:36.508	1.8071	0.0513	-0.6152	-10.6201	-44.8608	59.3262	152.5946	-56.8542	152.1936	38.89	-43	134	293 
0x50	 11:56:36.610	1.3428	0.2651	-0.2358	0.0000	-9.2773	-44.4336	151.1609	-55.1953	150.5402	38.91	-33	124	294 
0x50	 11:56:36.768	-0.3535	-0.1401	-0.1304	3.1128	29.2358	11.9019	148.5901	-58.1671	153.1055	38.88	-34	122	290 
0x50	 11:56:36.815	0.5571	0.1558	-1.2471	-89.1724	-30.2124	-71.7163	143.9374	-55.5084	159.6313	38.89	-43	116	291 
0x50	 11:56:36.974	2.1914	-0.0576	-0.6982	-11.9629	-45.2271	-29.1138	137.0709	-50.5316	163.0756	38.89	-32	93	290 
0x50	 11:56:37.008	1.2832	-0.3921	-0.2935	-16.7847	-8.1177	53.8940	144.2944	-51.8500	155.0610	38.88	-24	98	291 
0x50	 11:56:37.162	-0.2593	0.0293	-0.2354	-15.1367	36.4380	-16.9678	139.3835	-56.3599	157.9999	38.89	-32	100	290 
0x50	 11:56:37.204	-0.0742	-0.0327	-0.1875	15.4419	14.6484	29.1138	132.9675	-53.3551	166.7230	38.90	-50	101	289 
0x50	 11:56:37.367	1.9824	-0.3320	-0.5127	4.2114	-25.3906	70.3735	148.0847	-57.1069	152.2705	38.86	-48	115	289 
0x50	 11:56:37.414	1.4546	0.2192	-0.3218	21.4844	-35.1563	-80.1392	147.5299	-53.0750	154.0448	38.91	-33	113	290 
0x50	 11:56:37.518	-0.1563	-0.2324	-0.2603	-5.7373	23.1934	1.3428	144.1901	-56.4038	157.6648	38.91	-34	117	291 
0x50	 11:56:37.630	0.1074	0.2168	-0.6050	-9.9487	0.7324	-37.6587	140.9601	-54.6185	163.5864	38.90	-45	119	292 
0x50	 11:56:37.705	2.2271	0.0000	-0.6592	-4.5166	-38.5742	-45.9595	136.0602	-48.3069	166.1572	38.88	-35	101	290 
0x50	 11:56:37.817	1.4268	-0.2515	-0.4116	0.3662	-27.8931	66.2842	142.0917	-50.0372	158.7744	38.91	-23	102	292 
0x50	 11:56:37.905	-0.1709	0.1030	-0.1768	8.4839	30.5786	-7.0801	141.2457	-54.4757	159.6094	38.91	-27	112	294 
0x50	 11:56:38.049	0.3672	-0.2681	-0.7803	51.0864	-25.0854	37.0483	139.3396	-51.6412	165.8276	38.91	-39	121	292 
0x50	 11:56:38.106	1.8467	0.2173	-0.5957	-23.6206	-57.1899	47.4243	150.0677	-54.8822	152.5562	38.90	-38	125	292 
0x50	 11:56:38.267	1.3481	0.2793	-0.2661	23.1934	-12.8784	-57.2510	147.4036	-52.7124	153.8690	38.91	-30	114	291 
0x50	 11:56:38.298	-0.3965	-0.2183	-0.3970	-10.2539	33.9966	8.1177	144.7778	-54.7449	157.4451	38.93	-29	117	292 
0x50	 11:56:38.426	0.5068	0.3198	-1.0557	-46.6309	-27.2217	-65.2466	138.5706	-52.5146	164.3390	38.91	-37	110	287 
0x50	 11:56:38.504	2.2520	-0.1279	-0.5918	10.3149	-29.6021	-5.9204	135.9998	-49.2407	165.8551	38.91	-31	95	288 
0x50	 11:56:38.669	1.0659	-0.2153	-0.2896	6.9580	3.4790	54.1382	143.6188	-51.5094	157.5110	38.89	-25	103	291 
